P-64,4,4,8070639.0,438.0,blue house
P-65,5,4,2969078.0,745.0,A lot of friends
P-66,6,4,3605738.0,164.0,A few friends
P-67,7,4,8659383.0,279.0,A lot of friends
P-68,8,4,3305073.0,238.0,Slightly smaller green house
P-69,9,4,3143747.0,661.0,yellow house
P-70,10,4,4636755.0,615.0,Slightly larger yellow house
P-71,11,4,5165498.0,562.0,A lot of friends
P-72,12,4,9604088.0,675.0,Slightly larger yellow house
P-73,13,4,3691527.0,793.0,blue house
P-74,14,4,5923952.0,706.0,green house
P-75,15,4,8635104.0,311.0,A bad friend nearby
P-76,16,4,6463600.0,262.0,smaller purple house
P-77,17,4,9761622.0,479.0,yellow house
P-78,18,4,6201774.0,532.0,A bad friend nearby
P-79,19,4,3873308.0,478.0,Slight more fun neighborhood
P-80,20,4,4026531.0,723.0,smaller purple house
P-81,1,5,6560058.0,799.0,Slight more fun neighborhood
P-82,2,5,6227261.0,540.0,Slightly smaller green house
P-83,3,5,8563886.0,745.0,yellow house
P-84,4,5,3601882.0,379.0,Slightly larger yellow house
P-85,5,5,5971517.0,455.0,A bad friend nearby
P-86,6,5,7824203.0,207.0,yellow house
P-87,7,5,5603101.0,651.0,Larger blue house
P-88,8,5,2811132.0,609.0,purple house
P-89,9,5,5580551.0,183.0,Slight more fun neighborhood
P-90,10,5,3162294.0,530.0,Slightly smaller green house
P-91,11,5,9265719.0,165.0,A lot of friends
P-92,12,5,9765485.0,422.0,smaller purple house
P-93,13,5,8028653.0,187.0,yellow house
P-94,14,5,7721872.0,734.0,A bad friend nearby
P-95,15,5,4318954.0,556.0,Slightly larger yellow house
P-96,16,5,5737056.0,685.0,A good friend nearby
P-97,17,5,3982037.0,411.0,Slightly smaller green house
P-98,18,5,7694544.0,212.0,A few friends
P-99,19,5,2742784.0,454.0,Slight more fun neighborhood
P-100,20,5,9783011.0,380.0,smaller purple house

Reservation ID, Buyer ID, Price, Due Date
R-0,B-2,180000.0,03/24/2029

Offer ID, Currency, Property ID
O-0,Philippine Peso,P-2
O-1,Philippine Peso,P-1
O-2,Philippine Peso,P-1
O-3,Philippine Peso,P-1
O-4,Philippine Peso,P-2
O-5,Philippine Peso,P-4
O-6,Philippine Peso,P-4
O-7,Philippine Peso,P-4

Transaction ID, Agent ID, Buyer ID, Offer ID
T-0,E-3,B-1,O-7


Cash Payment ID, Final Price
O-0,3000000.0
O-1,100000.0
O-2,120000.0
O-3,220000.0
O-4,170000.0

Installment Payment ID, Total Amount, Downpayment, Interest Rate, Number of Years
O-5,2250000.0,500000.0,0.02,120
O-6,2250000.0,500000.0,0.02,120

Cash Payment ID, Final Price
O-7,5250000.0
